Fin-stmt_Etat-consolide_eng,Fin-stmt_Etat-consolide_fra,Section-lvl1_niv1_eng,Section-lvl1_niv1_fra,Section-lvl2_niv2_eng,Section-lvl2_niv2_fra,Section-lvl3_niv3_eng,Section-lvl3_niv3_fra,Section-lvl4_niv4_eng,Section-lvl4_niv4_fra,Type-detail_eng,Type-detail_fra,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024,2024/2025,Amt-units_Mnt-unite
Consolidated Statement of Operations and Accumulated Deficit—detailed,État consolidé des résultats et du déficit accumulé – détaillé,Expenses,Charges,Program expenses,Charges de programmes,Transfer payments,Paiements de transfert,Canada emergency wage subsidy,Subvention salariale d'urgence du Canada,,,0,0,0,0,0,80166,22291,-257,0,0,x1000000
Consolidated Statement of Operations and Accumulated Deficit—detailed,État consolidé des résultats et du déficit accumulé – détaillé,Expenses,Charges,Program expenses,Charges de programmes,Transfer payments,Paiements de transfert,Pollution pricing proceeds returned,Retour des produits issus de la tarification de la pollution,,,0,0,0,664,2636,4566,3814,6996,9858,15595,x1000000
Consolidated Statement of Operations and Accumulated Deficit—detailed,État consolidé des résultats et du déficit accumulé – détaillé,Expenses,Charges,Program expenses,Charges de programmes,Transfer payments,Paiements de transfert,Other transfer payments,Autres paiements de transfert,,,34874,41580,47138,51753,54405,97961,88478,99199,95951,107140,x1000000
Consolidated Statement of Operations and Accumulated Deficit—detailed,État consolidé des résultats et du déficit accumulé – détaillé,Expenses,Charges,Program expenses,Charges de programmes,"Other expenses, excluding net actuarial losses","Autres charges, excluant les pertes actuarielles nettes",,,,,79939,77519,86488,90077,95191,119089,124445,129596,140014,130454,x1000000
Consolidated Statement of Operations and Accumulated Deficit—detailed,État consolidé des résultats et du déficit accumulé – détaillé,Expenses,Charges,Public debt charges,Frais de la dette publique,,,,,,,21837,21232,21889,23266,24447,20358,24487,34955,47273,53410,x1000000
Consolidated Statement of Operations and Accumulated Deficit—detailed,État consolidé des résultats et du déficit accumulé – détaillé,Net actuarial losses,Pertes actuarielles nettes,,,,,,,,,-10064,-9904,-10352,-8361,-10609,-15295,-10186,-9627,-7489,-4020,x1000000
Consolidated Statement of Operations and Accumulated Deficit—detailed,État consolidé des résultats et du déficit accumulé – détaillé,Annual operating deficit,Déficit lié aux activités annuel,,,,,,,,,-2861,-18957,-18961,-13964,-39392,-327729,-90315,-35322,-61876,-36348,x1000000
Consolidated Statement of Operations and Accumulated Deficit—detailed,État consolidé des résultats et du déficit accumulé – détaillé,Accumulated deficit at beginning of year—as previously reported,Déficit accumulé lié aux activités au début de l’exercice – tel qu'établit antérieurement,,,,,,,,,-612330,-615986,-631899,-671254,-685450,-721360,-1048746,-1148296,-1183618,-1245494,x1000000
Consolidated Statement of Operations and Accumulated Deficit—detailed,État consolidé des résultats et du déficit accumulé – détaillé,Accounting change and restatement—Public sector pensions,Changement comptable et redressements – régimes de retraite du secteur public,,,,,,,,,-16580,-18454,-19641,0,0,0,0,0,0,0,x1000000
Consolidated Statement of Operations and Accumulated Deficit—detailed,État consolidé des résultats et du déficit accumulé – détaillé,Accounting change and restatement—Asset retirement obligations,Changement comptable et redressements – Obligations liées à la mise hors service d'immobilisations,,,,,,,,,0,0,0,0,0,0,-5379,0,0,0,x1000000
Consolidated Statement of Operations and Accumulated Deficit—detailed,État consolidé des résultats et du déficit accumulé – détaillé,Other comprehensive income (loss),Autres éléments du résultat global,,,,,,,,,-2669,1857,-753,-232,3482,343,4465,0,0,0,x1000000
Consolidated Statement of Financial Position—detailed,État consolidé de la situation financière – détaillé,Liabilities,Passifs,Accounts payable and accrued liabilities,Créditeurs et charges à payer,Amounts payable related to tax,Créditeurs fiscaux,,,,,53697,55077,61876,65200,60186,71516,78463,84747,87737,94790,x1000000
Consolidated Statement of Financial Position—detailed,État consolidé de la situation financière – détaillé,Liabilities,Passifs,Accounts payable and accrued liabilities,Créditeurs et charges à payer,Other accounts payable and accrued liabilities,Autres créditeurs et charges à payer,,,,,31113,30130,38740,43678,49875,62358,87852,57771,79894,68392,x1000000
Consolidated Statement of Financial Position—detailed,État consolidé de la situation financière – détaillé,Liabilities,Passifs,Accounts payable and accrued liabilities,Créditeurs et charges à payer,Provision for contingent liabilities,Provision pour passifs éventuels,,,,,12562,16511,23030,26447,24928,44815,53436,75999,56588,54721,x1000000
Consolidated Statement of Financial Position—detailed,État consolidé de la situation financière – détaillé,Liabilities,Passifs,Accounts payable and accrued liabilities,Créditeurs et charges à payer,Environmental liabilities and asset retirement obligations,Passif environnemental et obligations liées à la mise hors service d'immobilisations,,,,,13282,12599,12291,13192,14646,14484,23886,23134,22643,23905,x1000000
Consolidated Statement of Financial Position—detailed,État consolidé de la situation financière – détaillé,Liabilities,Passifs,Accounts payable and accrued liabilities,Créditeurs et charges à payer,Deferred revenue,Revenus reportés,,,,,9684,9066,8220,7500,10522,10424,18892,17789,17194,17917,x1000000
Consolidated Statement of Financial Position—detailed,État consolidé de la situation financière – détaillé,Liabilities,Passifs,Interest-bearing debt,Dette portant intérêt,Unmatured debt,Dette non échue,Payable in Canadian currency—Marketable bonds,Payable en monnaie canadienne - Obligations négociables,,,513016,545382,582501,576128,603639,889137,1043240,1044997,1087686,1169397,x1000000
Consolidated Statement of Financial Position—detailed,État consolidé de la situation financière – détaillé,Liabilities,Passifs,Interest-bearing debt,Dette portant intérêt,Unmatured debt,Dette non échue,Payable in Canadian currency—Treasury bills,Payable en monnaie canadienne - Bons du Trésor,,,137894,136464,110264,133555,151285,218664,186877,198899,262983,282252,x1000000
Consolidated Statement of Financial Position—detailed,État consolidé de la situation financière – détaillé,Liabilities,Passifs,Interest-bearing debt,Dette portant intérêt,Unmatured debt,Dette non échue,Payable in Canadian currency—Retail debt,Payable en monnaie canadienne - Titres au détail,,,5076,4533,2586,1237,497,299,0,0,0,0,x1000000
Consolidated Statement of Financial Position—detailed,État consolidé de la situation financière – détaillé,Liabilities,Passifs,Interest-bearing debt,Dette portant intérêt,Unmatured debt,Dette non échue,Payable in foreign currencies,Payable en devises,,,22498,17626,16089,16068,15982,15469,14473,16034,21246,29557,x1000000
