Fin-stmt_Etat-consolide_eng,Fin-stmt_Etat-consolide_fra,Section-lvl1_niv1_eng,Section-lvl1_niv1_fra,Section-lvl2_niv2_eng,Section-lvl2_niv2_fra,Section-lvl3_niv3_eng,Section-lvl3_niv3_fra,Section-lvl4_niv4_eng,Section-lvl4_niv4_fra,Type-detail_eng,Type-detail_fra,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024,2024/2025,Amt-units_Mnt-unite
Consolidated Statement of Change in Net Debt—detailed,État consolidé de la variation de la dette nette – détaillé,Change due to tangible capital assets,Variation due aux immobilisations corporelles,Proceeds from disposal of tangible capital assets,Produits de cession d'immobilisations corporelles,,,,,,,610,373,236,433,41,15,28,26,62,12,x1000000
Consolidated Statement of Change in Net Debt—detailed,État consolidé de la variation de la dette nette – détaillé,Change due to tangible capital assets,Variation due aux immobilisations corporelles,"Net loss (gain) on disposal and write-offs of tangible capital assets, including adjustments","Perte (gain) nette sur cession et radiation d'immobilisations corporelles, incluant les ajustements",,,,,,,-135,-832,137,-49,-285,242,-207,481,675,213,x1000000
Consolidated Statement of Change in Net Debt—detailed,État consolidé de la variation de la dette nette – détaillé,Change due to inventories,Variation due aux stocks,,,,,,,,,29,379,163,78,430,-3593,738,-379,1191,281,x1000000
Consolidated Statement of Change in Net Debt—detailed,État consolidé de la variation de la dette nette – détaillé,Change due to prepaid expenses and other,Variation due aux charges payées d'avance et autre,,,,,,,,,96,-86,77,-12,-547,-2054,774,-44,-835,-241,x1000000
Consolidated Statement of Change in Net Debt—detailed,État consolidé de la variation de la dette nette – détaillé,Net remeasurement gains (losses),Gains (pertes) de réévaluation nets de l'exercice,,,,,,,,,0,0,0,0,0,0,0,4847,-1262,6015,x1000000
Consolidated Statement of Change in Net Debt—detailed,État consolidé de la variation de la dette nette – détaillé,Other comprehensive income (loss),Autres éléments du résultat global,,,,,,,,,-2669,1857,-753,-232,3482,343,4465,0,0,0,x1000000
Consolidated Statement of Cash Flow—detailed,État consolidé des flux de trésorerie – détaillé,Operating activities,Activités de fonctionnement,Annual operating deficit,Déficit lié aux activités annuel,,,,,,,-2861,-18957,-18961,-13964,-39392,-327729,-90315,-35322,-61876,-36348,x1000000
Consolidated Statement of Cash Flow—detailed,État consolidé des flux de trésorerie – détaillé,Operating activities,Activités de fonctionnement,Annual operating deficit,Déficit lié aux activités annuel,Non-cash items,Éléments sans effet sur la trésorerie,Share of annual (profit) loss in enterprise Crown corporations and other government business enterprises,Quote-part des (bénéfices) pertes annuels des sociétés d'État entreprises et autres entreprises publiques,,,-7316,-4920,-6959,-5920,-3588,11638,-11535,-3878,660,-3239,x1000000
Consolidated Statement of Cash Flow—detailed,État consolidé des flux de trésorerie – détaillé,Operating activities,Activités de fonctionnement,Annual operating deficit,Déficit lié aux activités annuel,Non-cash items,Éléments sans effet sur la trésorerie,Effective interest on debt,Taux d’intérêt effectif,,,2374,1936,1999,3044,4649,1559,3416,9329,15082,14574,x1000000
Consolidated Statement of Cash Flow—detailed,État consolidé des flux de trésorerie – détaillé,Operating activities,Activités de fonctionnement,Annual operating deficit,Déficit lié aux activités annuel,Non-cash items,Éléments sans effet sur la trésorerie,"Provision for valuation on other loans, investments and advances","Provision pour évaluation des autres prêts, placements et avances",,,1034,869,-109,2080,425,17175,2563,6688,3431,2871,x1000000
Consolidated Statement of Cash Flow—detailed,État consolidé des flux de trésorerie – détaillé,Operating activities,Activités de fonctionnement,Annual operating deficit,Déficit lié aux activités annuel,Non-cash items,Éléments sans effet sur la trésorerie,Amortization of tangible capital assets,Amortissement des immobilisations corporelles,,,5049,5168,5261,5643,5790,5969,5514,5644,5633,6044,x1000000
Consolidated Statement of Cash Flow—detailed,État consolidé des flux de trésorerie – détaillé,Operating activities,Activités de fonctionnement,Annual operating deficit,Déficit lié aux activités annuel,Non-cash items,Éléments sans effet sur la trésorerie,"Net (gain) loss on disposal of tangible capital assets, including adjustments","(Gain) perte net sur cession et la radiation d'immobilisations corporelles, incluant les ajustements",,,-135,-832,137,-49,-285,242,-207,481,675,213,x1000000
Consolidated Statement of Cash Flow—detailed,État consolidé des flux de trésorerie – détaillé,Operating activities,Activités de fonctionnement,Annual operating deficit,Déficit lié aux activités annuel,Non-cash items,Éléments sans effet sur la trésorerie,Net exchange loss (gain) and accrued interest on derivatives,Gain (perte) net de change et intérêts courus sur dérivés,,,1722,-627,71,-561,3318,-10142,-2696,6444,-224,7829,x1000000
Consolidated Statement of Cash Flow—detailed,État consolidé des flux de trésorerie – détaillé,Operating activities,Activités de fonctionnement,Annual operating deficit,Déficit lié aux activités annuel,Non-cash items,Éléments sans effet sur la trésorerie,Pensions and other future benefit and interest expenses,Charges et intérêts au titre des prestations des régimes de retraite et autres avantages futurs,,,26491,25884,29588,25662,28954,35152,32127,33720,32363,30991,x1000000
Consolidated Statement of Cash Flow—detailed,État consolidé des flux de trésorerie – détaillé,Operating activities,Activités de fonctionnement,Annual operating deficit,Déficit lié aux activités annuel,Non-cash items,Éléments sans effet sur la trésorerie,Provision for doubtful accounts,Provision pour créances douteuses,,,4325,2566,2323,4024,4403,6257,5571,6249,12638,12905,x1000000
Consolidated Statement of Cash Flow—detailed,État consolidé des flux de trésorerie – détaillé,Operating activities,Activités de fonctionnement,Annual operating deficit,Déficit lié aux activités annuel,Non-cash items,Éléments sans effet sur la trésorerie,Net losses on write-offs and write-down of inventory and prepaid expenses,Pertes nettes sur les radiations et réductions pour moins-value des stocks et charges payées d'avance,,,698,370,613,400,307,486,2236,1524,1499,1012,x1000000
Consolidated Statement of Cash Flow—detailed,État consolidé des flux de trésorerie – détaillé,Operating activities,Activités de fonctionnement,Annual operating deficit,Déficit lié aux activités annuel,Non-cash items,Éléments sans effet sur la trésorerie,Net exchange gain (loss) on foreign exchange accounts and other foreign currency balances,Gain (perte) net(te) de change sur des opérations de change et sur des autres soldes en devises,,,-2471,214,-771,-589,-5298,7199,3450,-5969,-237,-7629,x1000000
Consolidated Statement of Cash Flow—detailed,État consolidé des flux de trésorerie – détaillé,Operating activities,Activités de fonctionnement,Annual operating deficit,Déficit lié aux activités annuel,Non-cash items,Éléments sans effet sur la trésorerie,Foreign exchange accounts net (gain) loss on investments and non-cash interest,"(Gain) perte net sur cession de placements et intérêts nets sans effet sur la trésorerie, des comptes d'opérations de change",,,0,0,0,0,0,0,0,-170,-1350,-896,x1000000
Consolidated Statement of Cash Flow—detailed,État consolidé des flux de trésorerie – détaillé,Operating activities,Activités de fonctionnement,Annual operating deficit,Déficit lié aux activités annuel,Change in taxes receivable,Variation des impôts à recevoir,,,,,-11182,-7425,-15846,-8292,2198,-26049,-30653,-18162,-30015,-18974,x1000000
Consolidated Statement of Cash Flow—detailed,État consolidé des flux de trésorerie – détaillé,Operating activities,Activités de fonctionnement,Annual operating deficit,Déficit lié aux activités annuel,Pension and other future benefit payments,Paiements effectués au titre des prestations des régimes de retraite et autres avantages futurs,,,,,-15889,-17492,-19120,-19007,-18816,-18901,-20586,-20510,-22092,-23892,x1000000
Consolidated Statement of Cash Flow—detailed,État consolidé des flux de trésorerie – détaillé,Operating activities,Activités de fonctionnement,Annual operating deficit,Déficit lié aux activités annuel,Transfer addressing non-permitted surplus,Transfert adressant un surplus non autorisé,,,,,0,0,0,0,0,0,0,0,0,1943,x1000000
Consolidated Statement of Cash Flow—detailed,État consolidé des flux de trésorerie – détaillé,Operating activities,Activités de fonctionnement,Annual operating deficit,Déficit lié aux activités annuel,Net change in foreign exchange accounts assets,Variation des comptes d'opérations de change actifs,,,,,-15691,-5200,2873,-859,610,5564,-13569,0,0,0,x1000000
Consolidated Statement of Cash Flow—detailed,État consolidé des flux de trésorerie – détaillé,Operating activities,Activités de fonctionnement,Annual operating deficit,Déficit lié aux activités annuel,Net change in foreign exchange accounts liabilities,Variation des comptes d'opérations de change passifs,,,,,9493,-394,882,-1400,-682,-1526,-1173,0,0,0,x1000000
Consolidated Statement of Cash Flow—detailed,État consolidé des flux de trésorerie – détaillé,Operating activities,Activités de fonctionnement,Annual operating deficit,Déficit lié aux activités annuel,Change in accounts payable and accrued liabilities,Variation des créditeurs et charges à payer,,,,,3488,2824,20849,11908,4126,43564,52641,-3221,4242,-4194,x1000000
Consolidated Statement of Cash Flow—detailed,État consolidé des flux de trésorerie – détaillé,Operating activities,Activités de fonctionnement,Annual operating deficit,Déficit lié aux activités annuel,Net change in cash collateral,Variation nette des liquidités données en nantissement,,,,,-6557,-349,-1841,1622,-2825,9286,1802,-2623,-249,-1596,x1000000
Consolidated Statement of Cash Flow—detailed,État consolidé des flux de trésorerie – détaillé,Operating activities,Activités de fonctionnement,Annual operating deficit,Déficit lié aux activités annuel,Net change in other accounts,Variation nette des autres comptes,,,,,-3068,-720,-516,1118,1036,-9517,-3340,-4577,-7130,-4572,x1000000
Consolidated Statement of Cash Flow—detailed,État consolidé des flux de trésorerie – détaillé,Capital investment activities,Activités d’investissement en immobilisations,Acquisition of tangible capital assets,Acquisitions d'immobilisations corporelles,,,,,,,-7379,-7834,-9220,-10010,-9598,-10030,-8886,-10891,-13560,-17169,x1000000
Consolidated Statement of Cash Flow—detailed,État consolidé des flux de trésorerie – détaillé,Capital investment activities,Activités d’investissement en immobilisations,Proceeds from disposal of tangible capital assets,Produits de cession d'immobilisations corporelles,,,,,,,610,373,236,433,41,15,28,26,62,12,x1000000
Consolidated Statement of Cash Flow—detailed,État consolidé des flux de trésorerie – détaillé,Investing activities,Activités d’investissement,Enterprise Crown corporations and other government business enterprises,Sociétés d'État entreprises et autres entreprises publiques,Dividends received and other equity adjustments,Dividendes reçus et autres opérations portant sur les capitaux propres,,,,,4975,2195,7993,6302,1992,-13989,13187,11505,1515,839,x1000000
Consolidated Statement of Cash Flow—detailed,État consolidé des flux de trésorerie – détaillé,Investing activities,Activités d’investissement,Enterprise Crown corporations and other government business enterprises,Sociétés d'État entreprises et autres entreprises publiques,Purchases of other investments,Achats d'autres placements,,,,,0,0,0,0,0,0,0,0,-7569,-28245,x1000000
Consolidated Statement of Cash Flow—detailed,État consolidé des flux de trésorerie – détaillé,Investing activities,Activités d’investissement,Enterprise Crown corporations and other government business enterprises,Sociétés d'État entreprises et autres entreprises publiques,Issuance of loans and advances,Émission de prêts et avances,,,,,-54542,-52213,-42756,-48889,-54334,-48985,-67331,-63334,-65098,-90585,x1000000
Consolidated Statement of Cash Flow—detailed,État consolidé des flux de trésorerie – détaillé,Investing activities,Activités d’investissement,Enterprise Crown corporations and other government business enterprises,Sociétés d'État entreprises et autres entreprises publiques,Repayment of loans and advances,Remboursement de prêts et avances,,,,,52699,48703,39884,41086,42648,47837,54205,52058,57332,61620,x1000000
Consolidated Statement of Cash Flow—detailed,État consolidé des flux de trésorerie – détaillé,Investing activities,Activités d’investissement,"Issuance of other loans, investments and advances and foreign exchange accounts loans","Émission d'autres prêts, placements et avances et prêts des comptes d’opérations de change",,,,,,,-7601,-5978,-7483,-7446,-8158,-54548,-14316,-13773,-12971,-16634,x1000000
Consolidated Statement of Cash Flow—detailed,État consolidé des flux de trésorerie – détaillé,Investing activities,Activités d’investissement,"Repayment of other loans, investments and advances and  foreign exchange accounts loans","Remboursement d'autres prêts, placements et avances et prêts des comptes d’opérations de change",,,,,,,5383,4708,3120,4555,4699,5010,7693,8737,26999,7589,x1000000
Consolidated Statement of Cash Flow—detailed,État consolidé des flux de trésorerie – détaillé,Investing activities,Activités d’investissement,Issuance of advances to the Exchange Fund Account,Émission d'avances au Compte du fonds des changes,,,,,,,0,0,0,0,0,0,0,-47464,-41234,-39108,x1000000
Consolidated Statement of Cash Flow—detailed,État consolidé des flux de trésorerie – détaillé,Investing activities,Activités d’investissement,Repayment of advances to the Exchange Fund Account,Remboursement d'avances du Compte du fonds des changes,,,,,,,0,0,0,0,0,0,0,33331,30548,30454,x1000000
Consolidated Statement of Cash Flow—detailed,État consolidé des flux de trésorerie – détaillé,Financing activities,Activités de financement,Issuance of Canadian currency borrowings,Émission d'emprunts en monnaie canadienne,,,,,,,452850,507483,441307,437135,468722,1048574,710292,587867,773261,969450,x1000000
Consolidated Statement of Cash Flow—detailed,État consolidé des flux de trésorerie – détaillé,Financing activities,Activités de financement,Repayment of Canadian currency borrowings,Remboursement d'emprunts en monnaie canadienne,,,,,,,-435143,-477549,-433801,-424926,-430279,-698130,-592308,-584412,-681572,-883059,x1000000
Consolidated Statement of Cash Flow—detailed,État consolidé des flux de trésorerie – détaillé,Financing activities,Activités de financement,Issuance of foreign currency borrowings,Émission d'emprunts en devises,,,,,,,26817,21702,15847,19631,17821,34185,31377,23825,24573,26652,x1000000
Consolidated Statement of Cash Flow—detailed,État consolidé des flux de trésorerie – détaillé,Financing activities,Activités de financement,Repayment of foreign currency borrowings,Remboursement d'emprunts en devises,,,,,,,-24602,-26575,-17458,-19738,-18877,-33307,-32466,-23900,-18195,-19602,x1000000
Consolidated Statement of Cash Flow—detailed,,Financing activities,Activités de financement,Receipt of Canadian currency under swap contracts,Rentrée en monnaie canadienne sur les swaps de devises,,,,,,,0,0,0,0,0,0,0,7324,9808,8813,x1000000
Consolidated Statement of Cash Flow—detailed,,Financing activities,Activités de financement,Payment of Canadian currency under swap contracts,Paiement en monnaie canadienne sur les swaps de devises,,,,,,,0,0,0,0,0,0,0,-22893,-17603,-10760,x1000000
Consolidated Statement of Cash Flow—detailed,État consolidé des flux de trésorerie – détaillé,Financing activities,Activités de financement,Receipt of foreign currency under swap contracts,Rentrée en devises sur les swaps de devises,,,,,,,0,0,0,0,0,0,0,22879,17603,10767,x1000000
Consolidated Statement of Cash Flow—detailed,État consolidé des flux de trésorerie – détaillé,Financing activities,Activités de financement,Payment of foreign currency under swap contracts,Paiements en devises sur les swaps de devises,,,,,,,0,0,0,0,0,0,0,-8348,-10896,-9026,x1000000
Consolidated Statement of Cash Flow—detailed,État consolidé des flux de trésorerie – détaillé,Cash and cash equivalents at beginning of year,Trésorerie et équivalents de trésorerie au début de l’exercice,,,,,,,,,34999,38570,36500,34642,37635,37242,64101,100822,49006,75059,x1000000
Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed,État consolidé des opérations non budgétaires et des actifs non financiers – détaillé,"Loans, investments and advances","Prêts, placements et avances",Enterprise Crown corporations and other government business enterprises,Sociétés d'État entreprises et autres entreprises publiques,Loans and advances,Prêts et avances,Canada Mortgage and Housing Corporation,Société canadienne d'hypothèques et de logement,,,177,720,1124,592,-6282,-907,-2024,-2510,-2310,-2117,x1000000
Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed,État consolidé des opérations non budgétaires et des actifs non financiers – détaillé,"Loans, investments and advances","Prêts, placements et avances",Enterprise Crown corporations and other government business enterprises,Sociétés d'État entreprises et autres entreprises publiques,Loans and advances,Prêts et avances,Business Development Bank of Canada,Banque de développement du Canada,,,-1266,-1869,-1659,-1765,-1170,5179,-1848,-6793,-2626,-4311,x1000000
Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed,État consolidé des opérations non budgétaires et des actifs non financiers – détaillé,"Loans, investments and advances","Prêts, placements et avances",Enterprise Crown corporations and other government business enterprises,Sociétés d'État entreprises et autres entreprises publiques,Loans and advances,Prêts et avances,Farm Credit Canada,Financement agricole Canada,,,-748,-2245,-2318,-1850,-2794,-1699,-3106,-2821,-2829,-4406,x1000000
Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed,État consolidé des opérations non budgétaires et des actifs non financiers – détaillé,"Loans, investments and advances","Prêts, placements et avances",Enterprise Crown corporations and other government business enterprises,Sociétés d'État entreprises et autres entreprises publiques,Loans and advances,Prêts et avances,Canadian Development Investment Corporation,Corporation de développement des investissements du Canada,,,0,0,0,-4790,-1465,-3725,-6290,138,-764,-18707,x1000000
Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed,État consolidé des opérations non budgétaires et des actifs non financiers – détaillé,"Loans, investments and advances","Prêts, placements et avances",Enterprise Crown corporations and other government business enterprises,Sociétés d'État entreprises et autres entreprises publiques,Loans and advances,Prêts et avances,Other,Autres,,,-11,-117,-18,9,17,-12,154,-26,-2,-79,x1000000
Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed,État consolidé des opérations non budgétaires et des actifs non financiers – détaillé,"Loans, investments and advances","Prêts, placements et avances",Enterprise Crown corporations and other government business enterprises,Sociétés d'État entreprises et autres entreprises publiques,Investments,Placements,Share of annual loss (profit),Quote-part des pertes (bénéfices) annuels,,,-7316,-4920,-6959,-5920,-3588,11638,-11535,-3878,660,-3239,x1000000
Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed,État consolidé des opérations non budgétaires et des actifs non financiers – détaillé,"Loans, investments and advances","Prêts, placements et avances",Enterprise Crown corporations and other government business enterprises,Sociétés d'État entreprises et autres entreprises publiques,Investments,Placements,Other comprehensive (income) loss,Autres éléments du résultat global,,,2669,-1857,753,232,-3482,-343,-4465,-1628,221,-920,x1000000
Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed,État consolidé des opérations non budgétaires et des actifs non financiers – détaillé,"Loans, investments and advances","Prêts, placements et avances",Enterprise Crown corporations and other government business enterprises,Sociétés d'État entreprises et autres entreprises publiques,Investments,Placements,Dividends,Dividendes,,,4002,2320,8058,6427,3618,13592,6050,1695,1423,1184,x1000000
Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed,État consolidé des opérations non budgétaires et des actifs non financiers – détaillé,"Loans, investments and advances","Prêts, placements et avances",Enterprise Crown corporations and other government business enterprises,Sociétés d'État entreprises et autres entreprises publiques,Investments,Placements,Capital,Capitaux propres,,,973,-125,-65,-125,-1816,-18470,-435,8717,-290,-356,x1000000
Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed,État consolidé des opérations non budgétaires et des actifs non financiers – détaillé,"Loans, investments and advances","Prêts, placements et avances",Enterprise Crown corporations and other government business enterprises,Sociétés d'État entreprises et autres entreprises publiques,Investments,Placements,Equity adjustments and other,Ajustement de transition et autres,,,0,0,0,0,190,-24,2,-27,-13,11,x1000000
Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed,État consolidé des opérations non budgétaires et des actifs non financiers – détaillé,"Loans, investments and advances","Prêts, placements et avances",Enterprise Crown corporations and other government business enterprises,Sociétés d'État entreprises et autres entreprises publiques,Investments,Placements,Canada Mortgage Bonds,Obligations hypothécaires du Canada,,,0,0,0,0,0,0,0,0,-7580,-36557,x1000000
Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed,État consolidé des opérations non budgétaires et des actifs non financiers – détaillé,"Loans, investments and advances","Prêts, placements et avances",Enterprise Crown corporations and other government business enterprises,Sociétés d'État entreprises et autres entreprises publiques,Loans expected to be repaid from future appropriations,Prêts que l'on prévoit recouvrer au moyen de crédits ultérieurs,,,,,221,218,264,204,167,115,225,201,183,95,x1000000
Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed,État consolidé des opérations non budgétaires et des actifs non financiers – détaillé,"Loans, investments and advances","Prêts, placements et avances","Other loans, investments and advances","Autres prêts, placements et avances",Portfolio investments,Placements de portefeuille,,,,,351,286,1235,-616,-385,-165,390,-166,-247,150,x1000000
Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed,État consolidé des opérations non budgétaires et des actifs non financiers – détaillé,"Loans, investments and advances","Prêts, placements et avances","Other loans, investments and advances","Autres prêts, placements et avances",Capital subscriptions - International organizations,Souscriptions au capital - organisations internationales,,,,,0,0,-257,257,0,0,0,0,0,0,x1000000
Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed,État consolidé des opérations non budgétaires et des actifs non financiers – détaillé,"Loans, investments and advances","Prêts, placements et avances","Other loans, investments and advances","Autres prêts, placements et avances",Loans and advances,Prêts et avances,Canada Emergency Business Account,Compte d’urgence pour les entreprises canadiennes,,,0,0,0,0,0,-28789,344,3864,21016,1161,x1000000
Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed,État consolidé des opérations non budgétaires et des actifs non financiers – détaillé,"Loans, investments and advances","Prêts, placements et avances","Other loans, investments and advances","Autres prêts, placements et avances",Loans and advances,Prêts et avances,Canada Student Loans and Canada Apprentice Loans,Prêts canadiens aux étudiants et prêts canadiens aux apprentis,,,-694,-504,-913,-1156,-637,-1120,-115,-510,1683,-2205,x1000000
Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed,État consolidé des opérations non budgétaires et des actifs non financiers – détaillé,"Loans, investments and advances","Prêts, placements et avances","Other loans, investments and advances","Autres prêts, placements et avances",Loans and advances,Prêts et avances,Unconditionally repayable contributions,Contributions remboursables sans condition,,,-1177,47,-139,-147,-389,-1619,-1098,-948,-622,-658,x1000000
Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed,État consolidé des opérations non budgétaires et des actifs non financiers – détaillé,"Loans, investments and advances","Prêts, placements et avances","Other loans, investments and advances","Autres prêts, placements et avances",Loans and advances,Prêts et avances,Other loans and advances,Autres prêts et avances,,,985,433,-943,1515,-240,-197,-3550,-984,-4229,-5154,x1000000
Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed,État consolidé des opérations non budgétaires et des actifs non financiers – détaillé,Pensions and other future benefits,Régimes de retraite et autres avantages futurs,Public sector pensions,Régimes de retraite du secteur public,,,,,,,1061,505,-757,-2414,-2378,-1557,-3979,-5034,-8130,-8275,x1000000
Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed,État consolidé des opérations non budgétaires et des actifs non financiers – détaillé,Pensions and other future benefits,Régimes de retraite et autres avantages futurs,Other employee and veteran future benefits,Autres avantages futurs des employés et des anciens combattants,,,,,,,9541,7887,11225,9069,12516,17808,15519,18244,18401,17317,x1000000
Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed,État consolidé des opérations non budgétaires et des actifs non financiers – détaillé,Other liabilities,Autres passifs,Canada Pension Plan Account,Compte du Régime de pensions du Canada,,,,,,,-177,71,-74,131,115,-139,-38,204,-146,306,x1000000
Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed,État consolidé des opérations non budgétaires et des actifs non financiers – détaillé,Other liabilities,Autres passifs,Other liabilities,Autres passifs,,,,,,,-223,16,55,104,31,800,1034,-573,-230,-238,x1000000
Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed,État consolidé des opérations non budgétaires et des actifs non financiers – détaillé,Non-financial assets,Actifs non financiers,Tangible capital assets,Immobilisations corporelles,,,,,,,-2491,-3838,-4159,-5107,-4740,-3901,-5202,-4552,-7214,-10539,x1000000
Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed,État consolidé des opérations non budgétaires et des actifs non financiers – détaillé,Non-financial assets,Actifs non financiers,Inventories,Stocks,,,,,,,29,379,163,78,430,-3593,738,-379,1191,281,x1000000
Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed,État consolidé des opérations non budgétaires et des actifs non financiers – détaillé,Non-financial assets,Actifs non financiers,Prepaid expenses and other,Charges payées d'avance et autre,,,,,,,96,-86,77,-12,-547,-2054,774,-44,-835,-241,x1000000
Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed,État consolidé des opérations non budgétaires et des actifs non financiers – détaillé,Other transactions,Autres opérations,Taxes receivable,Impôts à recevoir,,,,,,,-7349,-4666,-12521,-4526,6463,-20925,-25565,-13394,-22063,-10612,x1000000
Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed,État consolidé des opérations non budgétaires et des actifs non financiers – détaillé,Other transactions,Autres opérations,Other accounts receivable,Autres créances,,,,,,,-7108,-177,-4064,2535,-3530,-2697,6430,-1890,-467,371,x1000000
Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed,État consolidé des opérations non budgétaires et des actifs non financiers – détaillé,Other transactions,Autres opérations,Derivative assets,Actifs dérivés,,,,,,,406,-885,670,-73,242,-2257,-1907,1714,332,1176,x1000000
Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed,État consolidé des opérations non budgétaires et des actifs non financiers – détaillé,Other transactions,Autres opérations,"Provincial, Territorial and Indigenous Tax Agreements Account","Compte relatif aux conventions fiscales provinciales, territoriales et autochtones",,,,,,,2780,-1942,5034,-351,-4710,7691,16140,-20942,11285,-5484,x1000000
Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed,État consolidé des opérations non budgétaires et des actifs non financiers – détaillé,Other transactions,Autres opérations,Amounts payable related to tax,Créditeurs fiscaux,,,,,,,-2501,1380,6799,3324,-5014,11330,6947,6285,2990,7053,x1000000
Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed,État consolidé des opérations non budgétaires et des actifs non financiers – détaillé,Other transactions,Autres opérations,Derivative liabilities,Passifs dérivés,,,,,,,1516,187,-633,-521,3066,-8086,-774,2218,-558,1452,x1000000
Consolidated Statement of Non-Budgetary Transactions and of Non-Financial Assets—detailed,État consolidé des opérations non budgétaires et des actifs non financiers – détaillé,Other transactions,Autres opérations,Other liabilities,Autres passifs,,,,,,,3262,3607,8941,8888,13863,24419,35845,11568,-9659,-5901,x1000000
"Consolidated Statement of Foreign Exchange, Unmatured Debt and Cash Transactions—detailed","État consolidé des opérations de change, de la dette non échue et des opérations en espèces – détaillé",Foreign exchange accounts Assets,Comptes d'opérations de change,International reserves held in the Exchange Fund Account,Réserves de liquidités internationales détenues dans le Compte du fonds des changes,,,,,,,-9418,-5289,1238,-1770,-4817,14427,-29510,-21767,-10549,-18176,x1000000
"Consolidated Statement of Foreign Exchange, Unmatured Debt and Cash Transactions—detailed","État consolidé des opérations de change, de la dette non échue et des opérations en espèces – détaillé",Foreign exchange accounts Assets,Comptes d'opérations de change,International Monetary Fund—Subscriptions,Fonds monétaire international - Souscriptions,,,,,,,-9041,278,-755,198,-729,1546,581,-992,286,-1313,x1000000
"Consolidated Statement of Foreign Exchange, Unmatured Debt and Cash Transactions—detailed","État consolidé des opérations de change, de la dette non échue et des opérations en espèces – détaillé",Foreign exchange accounts Assets,Comptes d'opérations de change,International Monetary Fund—Loans,Fonds monétaire international - Prêts,,,,,,,75,153,350,229,178,171,65,65,67,0,x1000000
"Consolidated Statement of Foreign Exchange, Unmatured Debt and Cash Transactions—detailed","État consolidé des opérations de change, de la dette non échue et des opérations en espèces – détaillé",Foreign exchange accounts Assets,Comptes d'opérations de change,International Monetary Fund—Poverty Reduction and Growth Trust,Fonds monétaire international - Fonds fiduciaire pour la réduction de la pauvreté et pour la croissance,,,,,,,0,0,0,0,0,0,0,0,-494,-1417,x1000000
"Consolidated Statement of Foreign Exchange, Unmatured Debt and Cash Transactions—detailed","État consolidé des opérations de change, de la dette non échue et des opérations en espèces – détaillé",Foreign exchange accounts Assets,Comptes d'opérations de change,International Monetary Fund—Resilience and Sustainability Trust,Fonds monétaire international - Fonds fiduciaire pour la résilience et la durabilité,,,,,,,0,0,0,0,0,0,0,-414,-60,-316,x1000000
"Consolidated Statement of Foreign Exchange, Unmatured Debt and Cash Transactions—detailed","État consolidé des opérations de change, de la dette non échue et des opérations en espèces – détaillé",Foreign exchange accounts Liabilities,Comptes d'opérations de change,Exchange Fund Account liabilities,Passifs du Compte du fonds des changes,Due to broker,Du au courtier,,,,,0,0,0,0,0,0,0,0,0,-316,x1000000
